roundId,metadata.application.project.title,metadata.application.project.website,metadata.application.project.projectTwitter,metadata.application.project.userGithub,metadata.application.project.projectGithub,metadata.application.recipient,payoutAddress
0x421510312C40486965767be5Ea603Aa8a5707983,Ekonavi,https://ekonavi.com,ekonavi_com,brenonavi,Ekonavi,0x934cA93d9380f7d72b84304b1b00ac192488590d,
0x64E5b2228eF31437909900B38fC42Dd5E4B83147,Faster API for resolving ENS names and avatars for web3 projects,https://ensideas.com/about,frolic,holic,,0xC9C022FCFebE730710aE93CA9247c5Ec9d9236d0,
0x64E5b2228eF31437909900B38fC42Dd5E4B83147,Esteroids - a community .eth websites search engine,https://esteroids.eth.limo,e_steroids,eyalron33,esteroids,0x71c7252Cc1AfC181704ff7fDED27486f5cCd9205,
0x6e8dC2e623204D61b0E59E668702654aE336c9f7,Algovera,https://algovera.ai,AlgoveraAI,richardblythman,AlgoveraAI,0x1aed8d16CD990555314EFAe9378e2c6d76519cc2,
0x6e8dC2e623204D61b0E59E668702654aE336c9f7,Seeds of Science,https://theseedsofscience.org,science_seeds,,,0xB77a9bDAba2d00126021fc1fA74bc21C5C85704C,
0x6e8dC2e623204D61b0E59E668702654aE336c9f7,AxonDAO,https://www.axondao.io,AxonDAO,,,0x9755398088d002A232f3C5954a8E1FFDF7B12dBA,
0x6e8dC2e623204D61b0E59E668702654aE336c9f7,Agua AI,https://espacofacil.pt,EspacoFacil_,,,0x2d380F82545a278e4C6032bE192528754455b0a6,
0x8aA06b3b8cAc2970857F4E0fD78F21dc01AAdE94,Forby.io,https://Forby.io,Forbyorg,DrSam,,0x4F739d93e4115D83e2DDdE315a9Af78Bf7Cb75F2,
0x905eFBaBe2d52cD648FAdfafCeC8D6C8c60F7423,Upala 🤖 Price-of-forgery digital identity,https://docs.upala.id/en/latest/,TheUpala,porobov,upala-digital-identity,0xddB1CB4EdBCD83066Abf26E7102dc0e88009DEAB,
0x9E669c0A6e075F14ba9d9D98C3580aD67E20ec38,Oxcart Applied Research,https://github.com/emjicy/Oxcart,emjicy,emjicy,Oxcart,0x75D923fBbC9d224ad4a92c370dCC60043010648f,
0x9E669c0A6e075F14ba9d9D98C3580aD67E20ec38,Tokenomics Design Space,https://tokenomicshub.xyz,tokenomicsdao,fstrauf,,0x9bcF35BD44Cd5902bfa0738b7B2de12d09CC2DC9,
0xAA40E2E5c8df03d792A52B5458959C320F86ca18,Crypto Fundraising,https://crypto-fundraising.info,Crypto_Dealflow,,,0xf2F099d2D133e2f3D1Ed8417Ca71E914a3185897,
0xAA40E2E5c8df03d792A52B5458959C320F86ca18,cp0x,https://cp0x.com,cp0xdotcom,illlefr4u,,0x4c82cfF7398f3D43b36e41B10fF6F42b14DD9385,
0xAA40E2E5c8df03d792A52B5458959C320F86ca18,Ethereum Dominicana,https://ethdom.eth.limo/,ethdominicana,,,0xa9aC44F20Dd34B183062f83788C44b6B060a7e3d,
0xAA40E2E5c8df03d792A52B5458959C320F86ca18,Nowhere Publishing (NFT books with open access content),https://nowherebooks.io,nowherepublish,,,0x14A118481f99A4ee63beaDd5a4DDB866BdB8E1D5,
